,cathegory,author,title,Publish date,article_content,images descriptions,sentiment
59,Climate change,BBC News,"Floods getting bigger and more frequent, says river expert",2021-12-26,"Floods on the River Severn and other waterways in the West Midlands are likely to continue getting bigger and more frequent, an expert has said.
Dave Throup retires this month after 21 years with the Environment Agency.
He said climate change was going to continue to have a significant impact on people living and working near the Severn, the UK's longest river.
Ahead of retirement, he reflected on his ""great"" job and becoming a familiar face in the media at times of flooding. 
Mr Throup, 56, began working for the agency on 1 January 2000 but said the floods of 2007 were his ""first taste of flooding on an almost apocalyptic scale"".
""We started seeing rivers do things we had never seen them do before and the penny really started to drop,"" he said.
""I remember being scared at the time, thinking 'This is not what normally happens'... there were people in the incident room saying 'This can't be right, it just doesn't happen' and some of these people had 30 or 40 years' experience seeing what rivers do.
""Since then, there have been five or six really big flood events and I've travelled all over [the] country, working in flood response in the Lake District, on the east coast and down south as well, and they all see a bit of it."" 
The largest floods ever recorded on the River Wye, which runs through Herefordshire, happened in 2020, he said.
Ahead of leaving his role, he said climate change would continue to have a huge impact on the size and scale of flooding in the West Midlands region. 
""We have had multiple big floods... and they are getting bigger and more frequent,"" Mr Throup said.
""I think the future is very uncertain but we also see very significant impacts from climate-related incidents.
""Flooding is one thing, as floods get bigger and more frequent, but that is only one part of story. I believe we are going to see significant water shortages as well in parts of our geography, 60 to 70% drops, which will not leave enough water for businesses and wildlife.
""These are really significant issues facing society and the speed with which they are happening [is] so scary, the stuff that has happened just in my lifetime has been incredible.""
As area manager for Herefordshire and Worcestershire, at times of flooding he is often called to manage incidents, working in the control room for weeks.
In the incident room, he said, people would work eight-hour shifts for five to six days, then have a rest day before continuing. 
""With the flooding you tend to get in this part of world, they are quite long lived. So if it is a big flood, you're working 24/7 for three or four weeks... it is full on,"" Mr Throup said. 
""It is quite a pressurised atmosphere in that room, when things happen you have got to react quick.
""Working with other professional partners like police and fire and rescue, it is a good vibe you get going and we do work together very well.""
When not working as an incident commander he is a media contact and said, during floods in 2014, he had once done 60 interviews in one day.
""The media world just descends with satellite trucks,"" he said.
""I spoke to everyone from Kerrang to Al Jazeera and some German TV company who couldn't understand a word I am saying, it was absolutely full on.""
The role also involves speaking with those affected by flooding, he said, which could be one of the hardest parts of the job. 
""You are taking some of the anger and the heat from it, but that is part of the role,"" he said.
""You are there in an Environment Agency jacket and people are flooded, they are understandably angry and upset, that is a difficult part of job, but it goes with the territory.""
He is also well known for his social media presence, at one time sparking his own fan club.
A self-confessed early-adopter of social media, he said he had found it a ""very powerful way to be able communicate with people with immediacy"".
""I've had fantastic messages since I announced my retirement,"" Mr Throup said, with more than 200 messages of people wishing him well and more than 1,000 likes. 
Mr Throup previously worked for Rentokil, as a planning officer in south Wales and for Severn Trent Water before moving to the Environment Agency.
Born and bred in Worcestershire, it has been ""nice to make a bit of a difference in the patch"", he said.
Married to Cathryn, with two grown-up children, Mr Throup said he hoped to spend the early part of his retirement travelling, if Covid-19 restrictions allowed.
""My wife is a teacher so we have never been able to travel much,"" he said.
Follow BBC West Midlands on Facebook, Twitter and Instagram. Send your story ideas to: newsonline.westmidlands@bbc.co.uk
Information about BBC links to other news sites
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Presentational grey line', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
60,General,BBC News,Title of article,2021-12-26,"Around the US, an estimated three million oil wells have been abandoned. 
Many of the wells are emitting harmful methane gases, which are more harmful to the environment than carbon dioxide.
That's why Curtis Shuck, a 30-year veteran of the oil industry, has stepped in. 
He's created Well Done, a not for-profit organisation dedicated to capping the old wells.","['A local woman with a seal carcass in northern Alaska', 'Stephanie', '', 'Brian Wilson', 'A composite image of a woman and a township', 'Stella Morris', 'Mercedes Gleitze', 'Brussels protest', 'One-minute World News summary', 'Wildfires', 'A person in a hazmat suit sprays disinfectant', 'Jacinda Ardern']",1
61,Climate change,BBC News,Welsh cook will spend Christmas aboard Boaty McBoatface,2021-12-24,"A Welsh chef will enjoy the ultimate white Christmas - on Boaty McBoatface's maiden voyage to Antarctica.
Steve Carpenter, 49, from Caerphilly, is a cook steward on the exploration ship, officially named RRS Sir David Attenborough.
He will serve Christmas dinner in the winter wonderland setting, but penguins, seals and polar bears are staying off the menu.
Steve said it would be ""traditional"" and served on Christmas Eve.
The Â£200m ship, part of the UK government's polar infrastructure investment programme, is due to return in May or June.
An online poll had suggested the ship be named Boaty McBoatface - but one of its robotic submarines has been given this moniker instead.
Making sure everyone gets a proper Christmas dinner is a big priority for the galley crew, as they celebrate the festive period on the other side of the world.
Being 8,500 miles from home has meant most of the dinner has been prepared in advance.
""We've got 10kg of Christmas pud for the crew to consume, 5kg of Christmas cake baked by our baker on board and iced and decorated and through the Christmas period we'll go through 500 mince pies,"" said Steve.
He added that because of the lack of availability of fresh fruit and vegetables on the voyage, they will use frozen sprouts - cooking about 300 for the meal, along with 20kg of roast potatoes and 34kg of stuffing for the 49 people on board.
""It's another working day for us in the galley, but hopefully we'll be able to sit down at the end of the meal and enjoy it with everyone,"" he said.
The RRS Sir David Attenborough is travelling from Rothera research station on Adelaide Island to Signey Island, where they are due to arrive on Christmas Day and where more scientists will disembark.
Working at sea for the past 25 years, Steve's had his fair share of far-flung Decembers, several times enjoying a curry Christmas dinner in the Middle East, during his time in the Royal Auxiliary Fleet.
But this year, he will have a guaranteed white Christmas in a place he says, ""doesn't compare to anywhere else"".
""This is my first trip down south. It's such an amazing opportunity to get down here. It's an absolutely mind-blowing place.""
Minister for the polar regions, Amanda Milling, said: ""This magnificent ship is something everyone across the United Kingdom can take immense pride in. I'd like to wish everyone on board for its maiden voyage a Merry Christmas.""
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Steve Carpenter', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
62,General,BBC News,Title of article,2021-12-24,"A start-up from Oxford is hoping to make laundry more environmentally friendly by collecting clothes and washing them in its more eco-friendly laundrette.
OxWash uses cold water in its machines to reduce energy consumption and uses a specialised detergent that produces ozone to sterilise clothes.
BBC Click's Chris Fox visited one of the company's centres in Battersea, London and asked founder Kyle Grant why people would want to send their clothes away to be washed.
Follow Chris Fox on Twitter and Instagram","['Chris Fox with games controllers', 'Chris Fox holding two huge retro mobile phones', '', 'Brian Wilson', 'A composite image of a woman and a township', 'Stella Morris', 'Mercedes Gleitze', 'Brussels protest', 'One-minute World News summary', 'Wildfires', 'A person in a hazmat suit sprays disinfectant', 'Jacinda Ardern']",3
63,Climate change,Marco Silva,Climate change: Small army of volunteers keeping deniers off Wikipedia,2021-12-24,"Wikipedia has for so long been plagued by climate change denial. But a group of dedicated volunteers around the world is working tirelessly to keep the deniers at bay.
David Tetta lives in northern California, in the kind of close-knit community where neighbours just wander into each other's homes - during our interview, he breaks off for a second to shoo one of them out of the room.
It was while chatting to his neighbours that David first thought of volunteering to edit Wikipedia. In 2019, around the time wildfires were raging across the state, climate change was coming up more and more often as a topic. 
""Many conversations seemed to evolve into people expressing their feelings of angst and fear about the environment,"" he says. 
""I was wondering, what kind of information are people getting?""
David was well-placed to study the subject, having worked for the US Environmental Protection Agency for more than 30 years. 
He looked at the most obvious starting point for climate change information, Wikipedia - and, as he diplomatically puts it, he found ""certain areas of it that could be improved"".
He started small by proposing edits and discussing them with other volunteers. But he soon found himself pouring hundreds of hours into Wikipedia editing. 
""You have to read through about 100 pages of scientific information to edit a sentence,"" he says. 
English Wikipedia alone gets more than nine billion page views a month, and the magnitude of that figure is not lost on David.
""It gives you a certain sense of responsibility for making sure you're getting it right.""
The point of Wikipedia is that anyone with an internet connection can edit it. But that also makes it vulnerable to manipulation, and those who deny the climate crisis know it.
They've been waging an editing war to get their views across, and subtlety is not always their forte.
On one occasion, someone added a sentence wrongly suggesting climate scientists worldwide are in the pocket of a secretive Communist organisation.
Another user peppered paragraphs with the word ""alleged"", wrongly suggesting that basic climate science is far less settled than you might think.
And, in a rather mischievous twist, one time the entire text of an article on climate change was turned into a hyperlink. Users clicking on any of it would immediately be taken to an article about hoaxes.
Those kinds of stunts don't last long, though.
""That might stay up for a few minutes or an hour or so,"" David says. ""But usually, one of the editors will spot it.""
David is part of a small but dedicated group of volunteers who have made it their mission to curate and protect articles about climate change on English Wikipedia. And they're not afraid to pick a fight.
""I'll send [the deniers] a note on their personal page on Wikipedia saying, 'This is vandalism, this could have consequences,'"" says David. ""Sometimes these people get kicked off Wikipedia.""
Wikipedia, which was launched in 2001, has grown into one of the world's most popular websites, and is published in more than 300 different languages.
English Wikipedia is the largest version - and, according to the editors interviewed for this piece, the one where you can find the most reliable coverage of climate change.
""We are lucky with a large editor base,"" says Dutch volunteer Femke Nijsse. 
She's come to be regarded as one of the most influential voices within the small community of Wikipedia editors specialising in climate change.
If you have ever visited the main Wikipedia article on climate change, chances are that you read some of Femke's words - she's the user who's contributed the most to that article by far.
""I'm quite proud of my work on Wikipedia,"" she says.
Femke is a postdoctoral research fellow at the University of Exeter, studying the transition to green energy - so global warming is something she's been thinking about for a while.
She's been editing Wikipedia articles for seven years and in that time she's got to know what junk science looks like.
""Editors recognise all of the common climate denial myths, and most editors have a good feeling for misinformation red flags, including use of unreliable sources, of emotive words,"" she says.
""The most satisfying editing for me is the removal of misinformation."" 
Femke is clinical in her debunking of bad science, and a stickler for Wikipedia's rules.
In October, a user tried to add a sentence to the climate change article, wrongly suggesting that stopping the world from using fossil fuels would make no difference to global warming. Femke dismissed the edit, but not before explaining that such a statement would have to be backed by reliable sources.
Wikipedia doesn't have a policy vetoing climate change denial, but there are policies that insist you have to cite quality sources, which tends to weed unscientific content out. 
""Wikipedia is just an uncomfortable place to be if you want to promote a point of view that goes against science,"" says volunteer editor Su-Laine Brodsky, a technology writer by profession. ""It's much easier to be on social media, where you can say whatever you want, and not really be held to task for it.""
From her home in Canada, Su-Laine has been editing Wikipedia pages for 15 years. 
She started out by sharing medical information and moved on to writing about sea otters and killer whales. She only recently decided to focus on climate pages.
""I've always been interested in the environment and wildlife, and was kind of intimidated by the idea of working on climate change,"" she says. ""I thought of climate change as a very technical and very controversial topic.""
But one day she stumbled across an article on sustainable energy that was riddled with problems. ""It had a lot of self-promotion - companies promoting themselves, people who are doing some kind of research promoting their pet project.""
Su-Laine got stuck in and started getting rid of it. 
""Wikipedians are people who fix things,"" she says. ""You notice something that's wrong, and you just need to have enough confidence to say, 'I can make this suck a bit less.'""
Sometimes the errors are obvious. But it didn't take long for Su-Laine to realise some users were twisting the facts in subtler ways, especially in less-trafficked articles. 
""When you've got an article about a climate science denier, people will try to soften that by saying so-and-so is a 'climate policy analyst'. That's a way of making the person sound more credible,"" she says. 
According to Alex Stinson from the Wikimedia Foundation, which runs Wikipedia, climate misinformation ranges from neglect - science that's out of date - to a lack of balance, to active disinformation. 
He's confident the organisation has what it takes to deal with the problem. 
""All of the studies on vandalism and misinformation suggest that our natural immune system on the big language Wikipedias catches something like 97% of it rapidly,"" he says. 
As well as human editors, the organisation also uses computer bots to fight vandalism. High-profile articles, including some about climate, also benefit from additional layers of protection - some of them can only be edited by users with a certain amount of editing experience. 
But there will always be areas of the website that are harder to patrol. 
""There are over 6,300,000 articles on English Wikipedia,"" Alex says. ""Not all of those are under the same kind of universal scrutiny of the community.""
And bad information, even outright conspiracies theories, are more common on climate pages in languages other than English, according to a recent BBC investigation. 
For now, it is entirely down to volunteers to hold the fort.
""Wikipedia is uneven,"" says Su-Laine. ""You have to still take it with a grain of salt."" 
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['The Denial Files branding - a planet with headphones on a background of fire', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
64,Climate change,Louise Cullen,Poots launches consultation on Future Agricultural Policy,2021-12-21,"The agriculture minister has launched a consultation on policy proposals for the Future Agriculture Policy.  
It is based on four outcomes - productivity, environmental sustainability, improved resilience and an effectively functioning supply chain.  
The aim is to try to reduce greenhouse gas (GHG) emissions from farming. 
Agriculture as a sector is the largest emitter in Northern Ireland.  
Among the proposals are a reduction in the age at which cattle would go to slaughter, a ""farming for nature"" package and a ""farming for carbon"" package. 
""Farming for Nature"" is expected to form a central plank of agricultural support, over time.  
Its main focus will be on improving biodiversity on farms, through measures like hedgerows, integration of trees within crops and livestock farming, and protected areas.  
The ""Farming for Carbon"" strand aims to reduce the carbon footprint of the agricultural industry through a number of proposals, including reducing the number of older cattle for slaughter, improved genetics, and feed additives.  
The agriculture minister said designing the policy was ""a unique opportunity"" to redefine agricultural policy.
Edwin Poots also said it was a chance to ""target support to meet local priorities and needs much more effectively"".
""As we build out this future portfolio, I want to ensure that farmers are supported and equipped with the right tools to continue producing high quality, nutritious food whilst importantly, also reducing their environmental impact,"" he added.
The consultation is open until 15 February 2022, with early findings to be published early in the year.  
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Farmer', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
65,General,BBC News,Title of article,2021-12-21,"""We need to understand how climate change will affect our future.""
These are the words from experts at Wales' new coastal monitoring centre. 
It is hoped that new data methods will mean better sea defences for residents.","['Homes falling into the sea at Hemsby', 'Home falling in to sea', '', 'Brian Wilson', 'A composite image of a woman and a township', 'Stella Morris', 'Mercedes Gleitze', 'Brussels protest', 'One-minute World News summary', 'Wildfires', 'A person in a hazmat suit sprays disinfectant', 'Jacinda Ardern']",2
66,Climate change,Jesse Preyser,Miners experiment with hydrogen to power giant trucks,2021-12-21,"Mining trucks are monstrous machines that guzzle fuel at a scarcely believable rate.
Weighing 220 tonnes, they can get through 134 litres of diesel every hour. 
Little wonder then that mining companies are focusing their attention on these vehicles as the first step to reducing their carbon footprint.
Anglo American, in collaboration with several partners, is retrofitting a mining haul truck with hydrogen power technology.
A first of its kind, the monster mining vehicle is being piloted in Limpopo, South Africa, at the firm's Mogalakwena platinum mine. 
Due to be launched in early 2022, the truck will be hybrid, with a hydrogen fuel cell providing roughly half of the power and a battery pack the other half. 
Instead of having a tank of diesel that powers the motor, hydrogen enters the fuel cell and mixes with oxygen to create water in a chemical reaction catalysed by platinum, which generates the electricity needed to power the motors that drive the wheels.
It only emits water vapour and the company says it has the potential to reduce on-site diesel emissions by up to 80%.
By rolling out this technology across its global truck fleet, Anglo American says it will be ""taking the equivalent of half a million diesel cars off the road"". 
The trucks also harvest regenerative energy created when driving downhill and braking, which is stored in the battery and extends the range of the vehicle.
Anglo is developing the truck along with partners Engie, NPROXX, First Mode, Williams Advanced Engineering, Ballard, ABB, Nel and Plug Power.
However, reducing the carbon footprint of the mining industry is a formidable task.
The construction sector, which includes mining, accounted for 36% of global final energy use and 39% of energy-related CO2 emissions in 2017, according to Davide Sabbadin, senior policy officer for climate and circular economy at the European Environmental Bureau (EEB).
He says the sector will need to reduce its energy consumption by a third if it hopes to be compatible with the Paris Agreement.
Hydrogen-powered trucks are a good start but need closer inspection, says Diego Marin, associate policy officer for environmental justice at the EEB. 
""While electric-powered vehicles, generally speaking, are less damaging to the environment than internal combustion engines on a life cycle analysis, this does not mean that they are green,"" he says.
Mr Marin points out it all hinges on how the hydrogen is produced. Some hydrogen is created using fossil fuels, which of course means there are substantial emissions as a result.
Anglo American says it is pulling out all the stops in an attempt to attain carbon neutrality by 2040.
Its hydrogen-powered hauler uses green hydrogen, which is made by splitting water atoms into oxygen and hydrogen, through electrolysis.
Even that is treated with caution by the EEB. 
""We should refrain from presenting hydrogen as a technological solution to all problemsâ¦ all forms of hydrogen come at an environmental cost - water use, impacts on nature,"" says Mr Sabbadin. 
The EEB also points out that hydrogen power has a shorter storage life than other renewables and is substantially more expensive to produce.  
More technology of business:
Whether it be investment for the mining industry's green goals or hydrogen power as a broader power solution, the issue of cost is definitely a pertinent one in South Africa. 
Jarrad Wright, an energy consultant and principal engineer for the Council for Scientific and Industrial Research (CSIR) explains. 
""Hydrogen for power production is still quite expensive and unlikely to compete for some time."" 
This is largely due to a lack of supporting infrastructure for the new forms of energy to be created, distributed or stored. 
But, Mr Wright adds that it is possible to migrate to hydrogen in specific applications. 
At the moment South Africa's hydrogen power infrastructure is still sparse.
But the government and private partners are exploring ways to transform the country's platinum belt into a ""hydrogen valley"", with a focus on producing green hydrogen.
Anglo American is one of the private partners in this hydrogen infrastructure plan, which aims to create a regional renewable energy ecosystem. 
The starting point for this ecosystem is due to be built at the Mogalakwena mine itself, through the construction of a hydrogen production and storage complex. It incorporates the largest electrolyser in Africa, a solar power field, and will generate approximately 140MW of green power. 
Initially, it will be to support the 24-hour operation of the new truck, but once operational, the aim is for numerous complexes such as this one, to serve as local and regional hubs for the emerging hydrogen economy.
""The ecosystem would not only help us reduce our... emissions, but would also provide the foundation for green hydrogen production, facilitating the roll-out of hydrogen-powered haul trucks across South Africa,"" Anglo says.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Mogalakwena mine, Limpopo South Africa', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
67,Budget 2021,BBC News,Welsh budget: Bumper funding rise for Welsh NHS amid backlog,2021-12-20,"NHS spending in Wales will jump next year to tackle record high waiting times created by Covid.
An extra Â£893m will be pumped in during 2022, as part of the Â£24.6bn Welsh government budget.
More cash has also been promised for councils, and Labour Finance Minister Rebecca Evans said the budget will help make Wales ""a fairer nation"".
Welsh Conservatives said the budget had been made possible after record funding from the UK government.
Shops and hospitality will get a 50% cut to business rates - a relief to some firms waiting to hear if there would be any help for the tax from April.
Plaid Cymru said the spending plans will deliver a ""stronger"" Wales, following the party's co-operation agreement with Welsh Labour ministers.
The Welsh government say that over three years it will provide Â£1.3bn in extra direct funding to the Welsh NHS.
Most of that - Â£893m - will arrive in the first financial year. That is a 10.7% increase on the current budget, or 7.8% when inflation is taken into account, with smaller increases in later years.
Numbers waiting for treatments hit record levels last August.
Budget documents say the government's ""highest priority is to address the backlog of treatments that have been delayed by the pandemic"".
Helen Whyley of the Royal College of Nurses said a significant portion has to be spent on NHS salaries, with 1,719 vacancies in Wales.
The union is currently in dispute with the Welsh government over pay.
""You can have all the money in the world for services,"" Ms Whyley said. ""But if you don't have the staff to care for patients, and to deliver that care safely, it won't buy you anything.""
Despite the rise in day-to-day spending, funding for health care facilities will fall from Â£377m to Â£279m next year.
The Welsh NHS Confederation, which represents health organisations, said its ""members are disappointed in the lack of investment in capital infrastructure to improve and redesign NHS estates and facilities"".
Cardiff University's Guto Ifan said the planned increase for NHS spending in Wales appears to be ""slightly below"" extra cash for Wales triggered because of NHS spending in England.
""There are huge uncertainties about the medium-term impact of the pandemic and these spending plans could well need to be revised upwards in later years.""
Council funding will increase by Â£384m to Â£5.1bn - 8.1% in nominal terms or 5.2% when inflation is taken into account.
Officials say this is the largest increase to the cash for local government - which is spent on social care and other services - since devolution began.
Mr Ifan said councils should be able to meet their spending needs next year ""with relatively low increases in council tax"".
The announcement follows a promise of more cash for Welsh public services from the Treasury, which provides the lion's share of the Welsh government's money.
Experts at Cardiff University say Â£2.9bn will be available to spend by 2024.
It also comes after an agreement between the Welsh government and Plaid Cymru which included free school meals over three years and expanding free childcare to two-year-olds.
Both were included in the budget, with Â£30m for early years and childcare, and Â£90m for free school meals over three years.
According to the Welsh government, businesses in retail, leisure and hospitality will receive 50% rates relief for 2022-23, matching similar plans announced by Chancellor Rishi Sunak for England.
It will be less than the 100% discount many such firms receive now. The scheme will be capped at Â£110,000 per business.
With other relief schemes ministers say 85,000 properties will be supported, while a further Â£35m will be spent to freeze rates for 2022-23.
Despite the announcement, Michael Manghan and Rhian Davies, who run the Crown and Sceptre in Cadoxton, Neath, are still concerned for what 2022 will hold.
Ms Davies feared the rate bill they would now need to pay was a ""big chunk of money to find"".
She said she would have like to have seen more, but added: ""It's better than nothing.""
Mr Manghan said: ""The money we've lost over the last year - we're only just coming back to repay people.""
Sam Dabb, who runs Le Pub in Newport, was pleased to hear the news. ""It's one of the main costs of the business, it's absolutely massive.""
One businessman said the Welsh government definitely had to meet the 50% cut introduced in England, and warned next year could be tough.
The Vale Resort in Hensol, Vale of Glamorgan, is starting to recover after a difficult 21 months. 
Bookings have increased since Covid restrictions were lifted and the company has opened a distillery on site to expand the business. 
Its managing director, Stephen Leeke, said government support schemes such as furlough, business rate relief and the Economic Resilience Fund (ERF) had helped the company stay afloat. 
He said: ""There's certainly an argument to say that they might consider going further, because I think we are in for a bit of a roller coaster now in the next couple of months and I don't think there's any doubt the industry will need some support.""
The Welsh government said it would spend Â£1.8bn on investments in its climate change department over three years, which includes Â£1.6bn on housing.
Of that, Â£1bn will be spent on housing and Â£375m for building safety.
Finance Minister Rebecca Evans said the Welsh government was still operating in a ""difficult financial context with our budget nearly Â£3bn lower than if it had increased in line with the economy since 2010-11"".
""This budget will support the Wales of today and shape the Wales of tomorrow. It will support our public services to be stronger, put Wales further down the path to being a net zero nation, and create a fairer nation with equality at its heart,"" she said.
Welsh Conservative finance spokesman Peter Fox said: ""Today's budget has been made possible by the Conservative government delivering record funding for Wales.
""In that light, I welcome the much-needed business rates holiday to help firms recover from the ongoing challenges of the pandemic, along with an important uplift in funding for our local authorities who deliver so many key services in communities across Wales.""
Llyr Gruffydd, Plaid Cymru finance spokesperson, said: ""Thanks to Plaid Cymru, this budget will deliver an even fairer, even greener, even stronger Wales through ambitious policy pledges.
""From free school meals for all primary pupils to extending free childcare to all two-year olds and much more, the commitments secured by Plaid Cymru as part of the co-operation agreement with Welsh government will secure transformational support for some of our poorest households and will change people's lives for the better across Wales.""
There will be relief among the many thousands working in hospitality, retail and leisure across Wales.
The Welsh government has matched what is happening in England and business rates for those industries will be halved. Most of them will still struggle to pay that as the pandemic continues to play havoc with trade with fewer people out shopping.
With a new Welsh government department focused on climate change, it's hardly surprising that it's getting more money. What is interesting, and tells us about the departments priorities, is that of the Â£1.8bn for capital spending by the climate change minister almost all of it (Â£1.6bn) is to improve the quality and supply of housing.   
This budget is taking the long term view even though the immediate economic landscape is extremely fragile.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Around the BBC footer - Sounds', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
68,Climate change,BBC News,Calls for 'reasoned debate' over oil and gas future,2021-12-19,"Business leaders have written a joint open letter to party leaders calling for a ""reasoned debate"" over the future of oil and gas in the UK.
The call comes after plans for the controversial Cambo Oil field off Shetland were put on hold. 
The letter says any statements calling for an end to new exploration have shaken investor confidence, placing tens of thousands of jobs at risk.
It warns politicians against creating a ""hostile investment environment"".
The letter, from Aberdeen & Grampian Chamber of Commerce, supported by The British Chambers of Commerce and Scottish Chambers of Commerce, has also been signed by 58 leading figures from business and civic life in Aberdeen.
It says the economic wellbeing of whole communities across the UK is also being put at risk.
The letter adds that the statements calling for an end to new exploration ""threaten the very basis of a fair and inclusive transition at the most crucial point in our collective journey to a net-zero society"". 
""A transition, by definition, is a change of state over time,"" it says. ""This is one of the most complex challenges we have faced in our history and it doesn't lend itself to a simple, 'Who's good, who's bad? Who's green, who's not?' approach. To characterise it in this way is overly simplistic. 
""We must now pause and allow for a reasoned debate about our energy future to take place. At the same time, we urge politicians to reflect carefully on their public statements on oil and gas and the impact they have on investment in the industry.
""We must not create an adverse policy environment at this crucial moment in our energy transition journey.""
The letter adds that by 2050, the International Energy Agency projects that global oil and gas demand will fall by 80%, but 20 million barrels per day will still be needed. 
""Therefore, there is no current future scenario where there is not a requirement for some oil and gas,"" it says. ""Meantime, it continues to be required for people to travel, heat and power their homes and for the manufacture of many everyday goods."" 
""This leaves us with two options; to produce this domestically, with full control over the regulatory environment in which it is extracted; or to import an increasing amount of our energy, with the heavier carbon toll that shipping it from other parts of the world carries. The latter makes little economic sense, and even less environmental sense.""
Russell Borthwick, chief executive of Aberdeen & Grampian Chamber of Commerce, said: ""We have a shared interest in getting to net zero as quickly as possible, but over recent months our region has been portrayed as part of the problem rather than part of the solution.
""The reality is that the skills, people, and experience embedded in the north-east of Scotland have quietly been leading the way in moving the UK towards its net-zero targets, without any intervention from COP26. 
""However, turning the North Sea into a hostile investment environment today does nothing to support that transition. In fact, it does the opposite, driving investment and tens of thousands of jobs away to other regions of the world.""
He added that the energy-transition opportunity for Aberdeen could be bigger than the oil and gas industry - but to get there, strong leaders were needed who were willing to ""cut through the noise, see the big picture and get our transition steps in the right order to protect jobs, provide retraining opportunities and create new ones"".
Deirdre Michie, chief executive of OGUK, which represents the UK's offshore oil and gas industry, said: ""Right now, we need oil and gas for 73% of our total energy, and so the transition to carbon neutrality will be a huge and complex task.  
""We will only be able to achieve it with careful planning by policy-makers who think long-term to develop clear government policies that are then supported by all politicians working together in the national interest. ""
She said that for years to come, oil and gas needed to be part of the energy mix. 
""It will be far better for the nation and the environment if we source these fuels from around our shores rather than relying on even more imports,""  she added.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Oil platform', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
